campaign,company,rate,count,avg
timeiswhatyoumakeofit,swatch,0.025830616,3,0.008610205
swatchwithlove,swatch,0.033210792,8,0.004151349
swatchmytime,swatch,0.037669648,3,0.012556549
dwgiftsoflove,itisdw,0.006101008,3,0.002033669
danielwellington,itisdw,7.744747032,32,0.242023345
layzhang,itisdw,0.015659255,8,0.001957407
DeVille,omega,0.096071549,6,0.016011925
ValentinesDay,omega,0.107233241,6,0.017872207
OMEGAOfficialTimekeeper,omega,0.213882786,3,0.071294262
perpetual,rolex,0.091406429,11,0.008309675
reloxfamily,rolex,0.01763548,9,0.001959498
