week,company,mean,count
week 1,omega,0.094225165,0.094225165
week 2,omega,0.131331535,0.131331535
week 3,omega,0.121881223,0.36564367
week 4,omega,0.213882786,0.641648357
week 1,rolex,0.05154031,0.15462093
week 2,rolex,0.079608045,0.238824136
week 3,rolex,0.055473105,0.166419315
week 4,rolex,0.138662063,0.554648253
week 1,itisdw,7.591891,121.470262
week 2,itisdw,6.326102,75.913219
week 3,itisdw,0.023347,0.233465
week 4,itisdw,5.033169,50.331691
week 1,swatch,0.033902683,0.135610733
week 2,swatch,0.038745924,0.154983694
week 3,swatch,0.028252236,0.113008944
week 4,swatch,0.019372962,0.019372962
